id,order_number,portal,total_amount,created_at
5b70dddc-e4b7-4cd7-a2c1-37187962aa10,"MSH-1779634694811-dwsa",meesho,0,2026-05-24T14:58:14.811+00:00
990282e4-6e85-4668-b7d2-dce13ee2f601,"MSH-1779634694811-iprm",meesho,0,2026-05-24T14:58:14.811+00:00
64dc0c70-a694-4cb2-bbaf-145994248f0c,"MSH-1779634694811-6y8s",meesho,0,2026-05-24T14:58:14.811+00:00
a532f7c1-a5e7-4629-9f93-10573dc90af5,"MSH-1779634694811-nt7x",meesho,0,2026-05-24T14:58:14.811+00:00
aba82fc1-09ef-4e1e-9e3d-5ff52a6dffd0,"40357459ZYCB680F18",firstcry,0,2026-05-15T12:48:45.646024+00:00
07f3d732-c229-47ee-9a99-5bbe2c371e36,"40158749YXB5B2D457",firstcry,0,2026-05-15T12:48:44.562549+00:00
db853fbd-95f7-4140-aec0-d8bca03d3da1,"40052834HBCF136928",firstcry,0,2026-05-15T12:48:44.369647+00:00
711cb387-adcb-4625-9933-3fbeb34e98fa,"10131729EUYB33D620",firstcry,0,2026-05-15T12:48:44.309848+00:00
9baa393a-da66-4c45-9df0-b51e1a3b5661,"4061198YPXF7263C7",firstcry,0,2026-05-15T12:48:45.580911+00:00
41513bb8-6303-4292-83c4-4b4e0b6dbd61,"MSH-1779634765014-ubr1",meesho,0,2026-05-24T14:59:25.014+00:00
9bbbe9e4-955d-4ac2-937c-bfd442bdf602,"39998341IGN30E4EC4",firstcry,0,2026-05-15T12:48:44.369647+00:00
06624c9c-c346-424d-b585-3bb33596ead7,"MSH-1779634765014-i3bd",meesho,0,2026-05-24T14:59:25.014+00:00
a6d439d7-7135-40fb-abff-15db7edd05b4,"MSH-1779634765014-urpc",meesho,0,2026-05-24T14:59:25.014+00:00
5c7e673c-1b55-4469-abe6-dc9294ac4407,"MSH-1779634765014-31s2",meesho,0,2026-05-24T14:59:25.014+00:00
0b80d9a9-f252-46b5-a670-4d21dc946291,"30350013LSCDD769B6",firstcry,0,2026-05-15T12:48:43.222935+00:00
282e9273-8d61-4827-bb21-423a645dffa8,"25685232UYY56CF4A2",firstcry,0,2026-05-15T12:48:43.417304+00:00
ac005026-3fcf-4d7b-a20f-c704177f017b,"MSH-1779634765014-75dz",meesho,0,2026-05-24T14:59:25.014+00:00
0e94679b-0d57-496d-943f-0445f0234b13,"MSH-1779634765014-dx4r",meesho,0,2026-05-24T14:59:25.014+00:00
5165bf6b-36bc-4915-b7b4-df78866045e9,"MSH-1779634765014-fkgc",meesho,0,2026-05-24T14:59:25.014+00:00
6cfa1b14-0d57-40a8-a9fb-093cf96aec6c,"MSH-1779634765014-ybil",meesho,0,2026-05-24T14:59:25.014+00:00
7f384e83-0fec-4435-be38-8106ec656c66,"MSH-1779634765014-0lpq",meesho,0,2026-05-24T14:59:25.014+00:00
4f80ebf1-c49a-497e-8eb5-7f36ac1279be,"37478586ANO81DE835",firstcry,0,2026-05-15T12:48:45.511446+00:00
d518026e-4a09-4556-8670-38cc208f0f34,"MSH-1779634765266-w85y",meesho,0,2026-05-24T14:59:25.266+00:00
6e677a07-bf4b-492b-b8d3-843409040039,"895425LFEA167D",firstcry,0,2026-05-15T12:48:43.605545+00:00
c3f4b633-0724-4732-b7ca-b1bb798ae658,"MSH-1779634765266-k9u8",meesho,0,2026-05-24T14:59:25.266+00:00
b74b0eb3-5657-4af6-9a00-aeee888e69d6,"MSH-1779634765266-kdb1",meesho,0,2026-05-24T14:59:25.266+00:00
2673d4e0-7dd4-4aeb-8b73-0f54f698ffc1,"MSH-1779634765266-2c2l",meesho,0,2026-05-24T14:59:25.266+00:00
56b03b87-90fd-48d8-a457-f76088cb2ed0,"40249536AYY594C6AD",firstcry,0,2026-05-15T12:48:44.697788+00:00
67f3104d-8826-4651-b2d3-542e9b103edd,"MSH-1779634765266-d0qd",meesho,0,2026-05-24T14:59:25.266+00:00
d6f72f32-5b65-4766-a0c2-1d635cead04f,"11050265ZWO4045F97",firstcry,0,2026-05-15T12:48:44.897946+00:00
07a87643-37eb-4219-81fc-7d90f6bed56a,"38705080FBWC80AE98",firstcry,0,2026-05-15T12:48:43.296621+00:00
94e01f41-b388-4a2c-b670-e0e539310dc3,"41131767ZXADAA293B",firstcry,0,2026-05-15T12:48:45.837288+00:00
5bb3e47d-9a2a-443d-8396-5c0e0d377872,"7005212RQMF6AD43A",firstcry,0,2026-05-15T12:48:45.714042+00:00
50b24688-239f-4827-a997-b933c9cbbddf,"30330463ISM2A3A0FC",firstcry,0,2026-05-15T12:48:45.646024+00:00
c282a2de-b78c-4d48-982c-f227340f4888,"19720590HTNEDE2CB2",firstcry,0,2026-05-15T12:48:43.605545+00:00
3c532aea-e301-484b-b1bc-ca7fcab0423f,"13267OSICDBF5A9",firstcry,0,2026-05-15T12:48:43.665994+00:00
d5063eb2-54c7-453d-8805-4621ce3559a3,"21180564BTDC2AACC9",firstcry,0,2026-05-15T12:48:44.436853+00:00
4b83dc04-3ad9-44ac-a17c-ebbd360da0eb,"39559040XBDFAD352D",firstcry,0,2026-05-15T12:48:45.646024+00:00
6e7c596b-ddce-4355-82c6-5f894d617e6c,"MSH-1779634765266-2sk0",meesho,0,2026-05-24T14:59:25.266+00:00
aa9a40c0-7eec-4039-8a18-58147b5493fb,"MSH-1779634765266-yl9i",meesho,0,2026-05-24T14:59:25.266+00:00
9c40b405-e516-45e5-8134-f331adb4f850,"39599874JHW2AA240C",firstcry,0,2026-05-15T12:48:45.171829+00:00
6bde2236-7354-490b-a64f-b9222f9033a5,"MSH-1779634765465-l5en",meesho,0,2026-05-24T14:59:25.465+00:00
c1b0db6b-259d-4032-9fda-f893f896d219,"19569173PZGC3A1033",firstcry,0,2026-05-15T12:48:43.605545+00:00
628a1503-ae64-4157-b6b7-c23a16365eab,"31402569YJHE28584D",firstcry,0,2026-05-15T12:48:45.09645+00:00
0934f99a-160f-4b42-bcd8-6de1f883b0b0,"36469023WNK5804775",firstcry,0,2026-05-15T12:48:44.236701+00:00
24a5bad3-fb26-480a-8a29-2a8b39a158b4,"35238300ZFZ3651BE0",firstcry,0,2026-05-15T12:48:44.498849+00:00
f7283d14-238b-47b2-aa30-6c62ff1aad02,"MSH-1779634765465-lfl6",meesho,0,2026-05-24T14:59:25.465+00:00
