Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P13BXZX,,DUP-CBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NLG2RWW,B07NLG2RWW,,DUP-CBRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P28XB3D,,DUP-CBWFFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SQL88,B01LCM4Q8G,,DUP-Double Wedge01,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SQL88,B073F79LQF,,DUP-Double Wedge02,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07K6FP4J9,B07HWX99VV,,DUP-FPCB227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0721SCXNR,,DUP-FPR221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07K6F7CPW,B07HWN7WCB,,DUP-NBB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P27KVCX,,DUP-PBRFP227,INR,569.52,1,0,1,569.52,569.52,,,,,,,,,,,,,,,,2.765,4.0,11.06,,,558.46,558.46
IN,11/01/2025,11/30/2025,B07NJ5PXXF,B07NJ5PXXF,,DUP-PFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLF1PDY,,DUP-PLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SFDJY,B07P3JZXR9,,DUP-PPELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLGWFPN,,DUP-PPLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLHP754,,DUP-PPLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
