Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,01/01/2026,01/31/2026,B0DG5SFDJY,B07P3KN6PF,,PELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NJ5PXXF,B07NJ5PXXF,,PFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B096FP4HX9,B096FP4HX9,,PHSPW2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SYYGM1Q,B09SYYGM1Q,,Pink Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SYYTB45,B09SYYTB45,,Pink Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0BXTBCCNC,,Pink_star,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,5.47,3.0,16.41,,,-16.41,
IN,01/01/2026,01/31/2026,B09SYZ8RF3,B09SYZ8RF3,,Pink Star Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SYZ34Z2,B09SYZ34Z2,,Pink Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLF1PDY,,PLRP221,INR,1148.788,5,1,4,5743.94,4411.56,165.2,1.0,165.2,46.02,5.0,230.1,-181.59,1.0,-181.59,156.564,5.0,782.82,2.683824,34.0,91.25,,,2940.28,735.07
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLGFCSM,,PLRP222,INR,1808.58,1,1,0,1808.58,0.0,165.2,1.0,165.2,188.8,1.0,188.8,-168.07,1.0,-168.07,168.07,1.0,168.07,2.32,5.0,11.6,,,-442.3,
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLFGFBV,,PLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S8ZBK,B09WLF9LY8,,PMW227,INR,475.566786,56,13,43,26631.74,20377.42,90.958333,12.0,1091.5,79.748333,60.0,4784.9,,,,0.0,56.0,0.0,4.893158,19.0,92.97,,,13626.89,316.904419
IN,01/01/2026,01/31/2026,B09WLF2CQ3,B09WLF2CQ3,,POW227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SFDJY,B07P3JZXR9,,PPELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLGWFPN,,PPLRP221,INR,1332.38,2,0,2,2664.76,2664.76,76.7,2.0,153.4,148.68,2.0,297.36,,,,181.59,2.0,363.18,,,,,,1850.82,925.41
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLHP754,,PPLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLFN31B,,PPLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07NY3L66L,,ppRFP221,INR,474.29,3,0,3,1422.87,1422.87,12.98,3.0,38.94,148.68,2.0,297.36,,,,0.0,3.0,0.0,4.03,19.0,76.57,,,1010.0,336.666667
IN,01/01/2026,01/31/2026,B07NLFJP55,B07NLFJP55,,PPRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07NY3MQH1,,PPWFFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,2.0,6.0,,,-6.0,
IN,01/01/2026,01/31/2026,B0DG5S8ZBK,B09WLDWSVQ,,PRBW227,INR,471.28,12,4,8,5655.36,3754.4,88.5,3.0,265.5,77.830833,12.0,933.97,,,,0.0,12.0,0.0,4.968182,22.0,109.3,,,2289.87,286.23375
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07NZ293RN,,PRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07P13KR4W,,PRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NLFLSK6,B07NLFLSK6,,PRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07P13S8H6,,RBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SFDJY,B07P3JTBCL,,RELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG8ZQHXX,B0DG915VM4,,RFPH227,INR,474.29,2,0,2,948.58,948.58,12.98,2.0,25.96,105.02,1.0,105.02,,,,0.0,2.0,0.0,4.68,5.0,23.4,,,794.2,397.1
IN,01/01/2026,01/31/2026,B0DG8ZQHXX,B0DG9242TL,,RFPNB227,INR,474.29,1,1,0,474.29,0.0,88.5,1.0,88.5,105.02,1.0,105.02,,,,0.0,1.0,0.0,5.422,5.0,27.11,,,-233.61,
IN,01/01/2026,01/31/2026,B0DG8ZQHXX,B0DG91VRLR,,RFPYG,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLFKVKV,,RLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLFYVQL,,RLRP222,INR,1833.966667,3,2,1,5501.9,1808.57,76.7,3.0,230.1,269.04,3.0,807.12,-167.786667,3.0,-503.36,249.95,3.0,749.85,3.0,1.0,3.0,,,521.86,521.86
IN,01/01/2026,01/31/2026,B0DG5V9CB6,B07NLGYK66,,RLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,2.995455,11.0,32.95,,,-32.95,
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0C8L13H6Z,,RPRFP227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0C8PPY8YB,B0C8PPY8YB,,RPWedge227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07NY3LW9C,,RRFP221,INR,567.62,1,0,1,567.62,567.62,40.12,1.0,40.12,143.96,1.0,143.96,,,,0.0,1.0,0.0,,,,,,383.54,383.54
IN,01/01/2026,01/31/2026,B07NLGFP7L,B07NLGFP7L,,RRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07NLG7DV5,B07NLG7DV5,,RRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B071XC7S5K,,SKU22179,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B07K6FP4J9,B07NJ73QQQ,,VFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SQ1T1,B09XJ4KLB8,,Wedge05,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09WMQHDM1,B01LCM4NB6,,Wedgeo1,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SQ1T1,B07S95D5PS,,Wedgeo4,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,
IN,01/01/2026,01/31/2026,B0DG92CN43,B0DG91SBMG,,WNBF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SL1M2SJ,B09SL1M2SJ,,WPBS2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B09SKQB2DV,B09SKQB2DV,,WPHB2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S8ZBK,B09SKC66LQ,,WPHP2277,INR,475.24,3,0,3,1425.72,1425.72,12.98,3.0,38.94,79.846667,3.0,239.54,,,,,,,,,,,,1147.24,382.413333
IN,01/01/2026,01/31/2026,B0DG5S8ZBK,B09SLJRMMM,,WPPS2277,INR,483.978333,12,2,10,5807.74,4781.07,103.25,2.0,206.5,73.405833,12.0,880.87,,,,0.0,12.0,0.0,,,,,,3510.8,351.08
